sex,height,weight
1,1.80,83.9
2,1.60,59.0
2,1.55,108.9
2,1.65,86.2
1,1.83,68.0
2,1.75,72.6
2,1.60,99.8
2,1.63,68.0
1,1.75,113.4
1,1.70,80.7
1,1.68,73.9
1,1.83,102.1
2,1.60,93.0
1,1.70,74.8
2,1.65,100.2
2,1.55,81.7
1,1.78,117.9
2,1.60,72.6
2,1.63,53.1
1,1.83,108.9
1,1.85,87.1
2,1.68,85.3
2,1.60,56.7
2,1.65,72.6
1,1.70,75.8
2,1.63,86.2
2,1.70,61.2
1,1.73,70.3
2,1.63,68.0
1,1.73,95.3
1,1.91,81.7
1,1.85,93.0
1,1.85,98.9
2,1.60,65.8
1,1.70,79.4
1,1.78,142.9
1,1.70,72.6
1,1.78,88.0
1,1.65,83.9
2,1.42,56.7
2,1.57,60.3
2,1.60,62.1
2,1.70,83.9
2,1.65,88.5
1,1.80,79.4
2,1.57,72.6
2,1.63,77.1
1,1.78,81.2
2,1.63,88.9
1,1.80,86.2
2,1.70,90.7
2,1.63,70.8
2,1.68,81.2
1,1.70,104.3
2,1.57,93.0
2,1.68,63.5
1,1.85,99.8
2,1.70,77.1
1,1.78,92.5
2,1.70,95.3
1,1.83,72.6
1,1.78,92.5
2,1.78,84.8
2,1.52,71.7
1,1.75,70.3
2,1.65,99.8
2,1.57,49.9
2,1.70,90.7
2,1.57,61.2
2,1.60,93.0
1,1.80,104.3
1,1.63,78.5
2,1.57,65.8
1,1.83,93.0
1,1.85,77.1
2,1.70,90.7
2,1.55,69.9
2,1.52,54.4
1,1.78,76.7
1,1.63,64.9
2,1.52,56.3
1,1.91,129.3
2,1.60,65.8
2,1.63,72.6
1,1.73,86.2
1,1.85,147.0
2,1.73,68.0
2,1.60,63.1
2,1.68,87.5
1,1.75,56.7
2,1.75,63.5
1,1.68,79.4
2,1.57,61.2
2,1.57,81.7
1,1.70,81.7
1,1.80,113.4
1,1.78,83.5
1,1.42,68.0
1,1.70,74.8
2,1.68,68.0
2,1.75,72.6
1,1.83,90.7
1,1.68,100.7
1,1.78,117.9
2,1.73,90.7
2,1.70,68.0
1,1.83,95.3
2,1.65,90.7
2,1.65,76.2
2,1.52,68.5
2,1.70,63.5
2,1.70,101.6
2,1.57,54.0
2,1.68,68.0
2,1.63,70.3
2,1.68,61.7
1,1.78,90.7
2,1.63,56.7
1,1.83,63.5
1,1.80,68.0
2,1.57,63.5
1,1.85,120.7
1,1.80,77.1
2,1.52,86.2
1,1.83,81.7
2,1.65,45.4
2,1.60,47.6
2,1.70,81.7
2,1.68,81.7
2,1.73,69.0
2,1.52,49.9
1,1.91,95.3
1,1.78,98.9
2,1.40,52.2
2,1.73,70.3
1,1.78,77.1
2,1.68,90.7
1,1.96,136.1
2,1.60,67.6
2,1.57,65.8
1,1.68,72.6
2,1.70,90.7
1,1.78,66.7
1,1.75,81.7
1,1.75,82.6
1,1.68,81.7
1,1.73,74.8
1,1.93,93.0
2,1.57,63.5
2,1.52,68.0
2,1.65,77.1
1,1.85,103.4
1,1.83,97.5
1,1.75,86.2
2,1.70,59.0
2,1.60,99.8
1,1.75,90.7
1,1.80,136.1
2,1.57,68.0
2,1.73,65.8
1,1.78,83.9
1,1.85,86.6
1,1.88,86.2
2,1.57,59.0
2,1.73,86.2
1,1.75,73.5
2,1.70,68.0
1,1.83,81.7
2,1.63,59.0
2,1.65,127.0
1,1.68,52.2
2,1.73,77.1
2,1.68,73.9
1,1.85,86.2
2,1.70,74.8
1,1.78,93.0
1,1.85,99.8
1,1.75,83.9
1,1.83,83.9
2,1.65,113.4
2,1.65,68.0
2,1.57,37.2
2,1.70,62.6
1,1.63,68.0
1,1.85,103.4
2,1.70,95.3
2,1.63,68.0
2,1.75,60.3
1,1.63,89.4
1,1.73,104.3
1,1.80,86.2
1,1.75,124.7
2,1.68,68.0
2,1.73,122.5
1,1.73,95.3
1,1.70,78.0
2,1.68,72.6
1,1.83,90.7
2,1.57,46.7
2,1.45,92.5
1,1.88,108.9
2,1.63,78.5
2,1.65,107.1
2,1.55,68.0
2,1.57,56.7
2,1.50,38.6
2,1.65,63.5
1,1.83,81.7
1,1.83,75.8
2,1.52,81.7
2,1.68,63.5
1,1.68,64.0
2,1.60,68.0
1,1.63,70.3
1,1.73,106.6
1,1.78,80.7
2,1.65,59.0
1,1.63,72.6
2,1.68,56.7
1,1.78,85.3
2,1.63,81.7
2,1.57,53.5
1,1.75,74.8
2,1.68,72.1
2,1.55,70.3
1,1.75,83.9
2,1.70,70.3
1,1.83,90.7
1,1.75,82.6
2,1.68,77.1
2,1.63,63.5
2,1.57,92.1
1,1.83,147.4
2,1.65,99.8
2,1.80,63.5
2,1.60,69.4
2,1.73,81.7
2,1.57,69.4
1,1.78,68.0
2,1.70,104.3
1,1.80,90.7
1,1.78,76.2
2,1.70,81.7
1,1.68,77.1
1,1.73,90.7
1,1.83,90.7
2,1.52,54.4
1,1.83,136.1
2,1.63,68.0
1,1.73,61.7
1,1.93,95.3
2,1.60,90.7
1,1.78,93.9
2,1.55,49.9
1,1.80,86.2
2,1.63,81.7
2,1.63,78.5
2,1.60,59.0
1,1.73,78.9
1,1.68,81.7
2,1.63,61.2
1,1.96,112.0
1,1.93,124.7
2,1.78,61.2
1,1.80,90.7
1,1.75,108.9
1,1.68,68.0
2,1.60,64.4
2,1.60,59.0
2,1.63,131.5
1,1.78,77.1
2,1.63,74.8
1,1.80,92.5
1,1.80,95.3
1,1.68,72.6
1,1.75,83.9
2,1.60,68.0
2,1.57,54.4
1,1.73,65.8
1,1.70,90.7
1,1.73,94.4
1,1.85,83.9
1,1.85,74.8
2,1.52,54.0
1,1.78,52.2
1,1.75,83.9
2,1.63,77.1
2,1.52,59.0
1,1.70,77.1
1,1.75,108.9
1,1.68,72.6
1,1.78,59.0
1,1.78,64.4
2,1.63,81.7
1,1.85,72.6
1,1.80,99.3
2,1.65,68.0
2,1.65,68.0
1,1.88,79.4
1,1.91,81.7
2,1.63,61.2
2,1.52,63.1
1,1.83,113.4
1,1.83,93.0
2,1.63,68.0
1,1.83,90.7
2,1.63,72.6
2,1.57,74.8
2,1.52,49.9
2,1.68,99.8
1,1.88,95.3
1,1.88,108.9
1,1.88,104.3
2,1.65,59.0
2,1.63,55.3
2,1.57,67.6
1,1.70,84.8
2,1.60,49.0
2,1.73,104.3
2,1.70,152.0
2,1.60,67.6
1,1.83,90.7
1,1.83,90.7
2,1.63,61.2
2,1.60,127.0
2,1.78,106.6
1,1.78,106.6
1,1.75,70.3
2,1.68,77.1
1,1.78,105.2
2,1.65,66.7
1,1.75,63.5
1,1.75,68.0
1,1.68,63.5
2,1.52,54.4
1,1.68,72.6
2,1.73,71.7
1,1.80,86.2
2,1.50,106.1
2,1.65,96.2
2,1.63,99.8
1,1.65,63.5
2,1.57,61.2
1,1.78,113.4
1,1.70,77.1
2,1.68,90.7
1,1.78,93.0
2,1.55,81.7
2,1.65,52.2
2,1.78,95.3
1,1.80,113.4
1,1.80,83.0
1,1.80,106.6
1,1.78,77.1
1,1.75,90.7
2,1.68,63.5
1,1.83,113.4
1,1.78,99.8
2,1.60,81.2
1,1.75,68.0
2,1.68,70.3
2,1.73,59.0
1,1.91,136.1
2,1.65,83.9
2,1.60,74.4
2,1.70,90.7
2,1.70,72.6
1,1.78,70.3
2,1.68,112.9
2,1.68,56.7
1,1.68,86.2
1,1.91,127.0
1,1.85,102.1
2,1.63,90.7
1,1.75,80.7
1,1.70,79.4
2,1.60,90.7
2,1.65,69.0
2,1.57,54.4
1,1.73,111.1
1,1.88,101.6
2,1.57,77.1
2,1.68,61.2
1,1.75,72.6
1,1.88,90.7
1,1.93,117.9
2,1.60,59.0
2,1.70,69.0
2,1.70,90.7
2,1.68,99.8
1,1.80,72.6
1,1.75,72.6
2,1.47,61.2
2,1.73,154.2
2,1.60,72.6
2,1.68,86.2
2,1.68,47.2
1,1.75,68.0
2,1.63,55.3
2,1.60,70.8
2,1.63,61.2
2,1.55,95.3
1,1.60,59.4
1,1.70,76.2
2,1.68,61.2
1,1.96,81.7
2,1.55,49.9
2,1.65,68.0
1,1.75,81.7
2,1.50,52.2
2,1.60,116.1
1,1.91,99.8
2,1.60,54.4
2,1.52,70.3
2,1.78,83.9
2,1.68,68.0
1,1.83,72.6
1,1.68,88.5
1,1.85,95.3
2,1.63,68.0
2,1.63,49.9
2,1.57,52.2
1,1.68,75.3
2,1.60,86.2
1,1.78,68.0
1,1.73,77.1
1,1.63,65.8
2,1.68,68.0
1,1.70,63.5
2,1.63,76.2
2,1.68,63.5
2,1.60,88.9
2,1.63,68.0
2,1.52,54.4
2,1.73,86.2
2,1.63,86.2
2,1.78,81.2
2,1.65,65.8
1,1.70,95.3
1,1.93,131.5
2,1.65,90.7
2,1.75,68.0
1,1.75,86.2
2,1.57,81.7
1,1.78,81.7
1,1.73,70.3
1,1.68,90.7
1,1.78,95.3
1,1.83,127.0
2,1.57,70.3
2,1.60,73.5
2,1.68,90.7
1,1.78,64.9
2,1.68,54.4
2,1.60,52.2
2,1.70,50.8
2,1.65,81.7
2,1.70,86.2
2,1.60,90.7
2,1.60,90.7
2,1.75,61.2
1,1.78,83.9
1,1.65,86.2
2,1.60,77.1
1,1.80,59.0
2,1.60,99.8
2,1.65,59.0
2,1.60,80.7
2,1.57,61.2
1,1.85,78.9
2,1.80,88.5
1,1.80,73.5
1,1.85,117.9
2,1.60,64.9
2,1.73,121.6
1,1.78,65.8
1,1.80,95.3
1,1.68,86.2
1,1.78,103.4
2,1.68,81.7
2,1.55,87.5
1,1.96,104.3
2,1.63,51.7
1,1.73,69.9
1,1.88,99.8
2,1.68,102.1
2,1.70,69.0
2,1.70,61.2
2,1.60,74.8
1,1.73,99.8
2,1.63,59.0
1,1.75,79.4
2,1.65,84.4
1,1.93,113.4
1,1.68,68.0
2,1.65,67.1
2,1.57,47.6
2,1.55,50.4
2,1.63,77.1
2,1.57,68.0
2,1.65,54.4
2,1.63,52.2
1,1.75,79.4
2,1.50,63.5
1,1.85,88.5
1,1.68,63.5
2,1.60,54.4
1,1.85,115.7
2,1.70,63.5
2,1.52,81.7
2,1.55,81.7
1,1.88,145.2
1,1.98,86.2
1,1.83,83.5
1,1.60,69.0
2,1.57,63.5
1,1.80,81.7
1,1.85,86.2
2,1.73,86.2
2,1.60,50.8
2,1.70,72.6
2,1.63,77.1
1,1.78,63.5
1,1.78,95.3
2,1.73,81.7
1,1.75,83.9
1,1.78,53.5
1,1.85,111.1
2,1.68,72.6
1,1.73,74.8
2,1.55,56.3
1,1.80,78.0
2,1.60,67.1
1,1.75,108.9
2,1.68,84.8
2,1.68,56.7
2,1.60,70.3
1,1.70,81.7
2,1.65,95.7
1,1.80,79.4
2,1.73,83.0
2,1.57,61.2
1,1.70,73.0
2,1.55,91.2
